model,layer,region,lambda_region,lo,hi
qwen,40,intro,0.006428486158868259,0.0032883815929691585,0.010116021788542302
qwen,40,rule,0.0350833450601439,0.021808281392068442,0.05029660332193919
qwen,40,own_payoff,0.36070956702993745,0.3155327829798782,0.41565273785798273
qwen,40,opponent_payoff,-0.1590697558320212,-0.2430014914498206,-0.08261561584752301
qwen,40,label_token,0.022279712666316568,0.012744831593472917,0.032818676773923104
qwen,40,question,0.015276917270204086,0.00829745728206356,0.022421605771518284
qwen,40,answer_prefix,0.01394542191876785,0.002921601126983093,0.02634994684693947
qwen,79,intro,-0.0003515932740283907,-0.002475844101426615,0.0018678470842101297
qwen,79,rule,0.0042318990584515595,-0.007360321656569987,0.016407400555190917
qwen,79,own_payoff,-0.04676626509978997,-0.1064962014315676,0.008527206546572267
qwen,79,opponent_payoff,-0.007723255317752189,-0.08600360554514934,0.07296212461272981
qwen,79,label_token,-0.008140072435224244,-0.03431108549372714,0.018481671342815885
qwen,79,question,0.012719540941376497,0.0028831650953228417,0.0232036175971301
qwen,79,answer_prefix,0.16990546218487373,0.13697096476774795,0.19890869696813765
qwen_instruct,40,intro,-0.0030002754275535734,-0.006304656720908529,-0.0001301052480350251
qwen_instruct,40,rule,0.03157536940080455,0.020758966795468962,0.04405182519919478
qwen_instruct,40,own_payoff,0.3340332715117301,0.2886214718966333,0.38573753806706157
qwen_instruct,40,opponent_payoff,-0.15708594228707232,-0.24319728117022507,-0.07532978477885438
qwen_instruct,40,label_token,0.022907096798680394,0.009838006466948254,0.03525234167672228
qwen_instruct,40,question,0.0037264295366584857,-0.003496994779972671,0.010822361114480792
qwen_instruct,40,answer_prefix,-0.003653219100139839,-0.015545555193538056,0.007783286652751896
qwen_instruct,79,intro,-0.0036417215812106158,-0.007475104807586107,0.00039885904845505
qwen_instruct,79,rule,0.021159348367643084,0.0015697347044064333,0.04244913196504132
qwen_instruct,79,own_payoff,-0.06147009585084001,-0.14049684487101194,0.01849242508151955
qwen_instruct,79,opponent_payoff,-0.02535643163515428,-0.11606134654034757,0.06816285460074255
qwen_instruct,79,label_token,-0.014111601671918808,-0.04446581591369291,0.017842398400932116
qwen_instruct,79,question,0.02918796913296565,0.019229634847941973,0.03896568646825692
qwen_instruct,79,answer_prefix,1.431777398459385,1.2994561371719893,1.5773565337582356
llama31_instruct,40,intro,-0.0033725450018874535,-0.006520969002528128,0.00012369312825151127
llama31_instruct,40,rule,0.014129975708036325,0.005335103654141132,0.023327071793489727
llama31_instruct,40,own_payoff,0.05803220946581742,0.02079563671456856,0.09643644806323999
llama31_instruct,40,opponent_payoff,0.04042169693805275,0.009692559337067879,0.06939793962817252
llama31_instruct,40,label_token,-0.017686109248997293,-0.028216568705456194,-0.006504297368342374
llama31_instruct,40,question,0.01440918164140659,0.008551513470917605,0.020644424403200277
llama31_instruct,40,answer_prefix,0.5848241640406163,0.5276691027071884,0.641327066697851
llama31_instruct,79,intro,-0.001437040270209657,-0.006389200277198896,0.004264364131355204
llama31_instruct,79,rule,-0.016857937938358936,-0.0266017814160139,-0.006823216086817579
llama31_instruct,79,own_payoff,-0.08945941657913113,-0.1271731184471794,-0.05175564032573681
llama31_instruct,79,opponent_payoff,-0.0794947861957283,-0.13383887106853587,-0.020003319952097483
llama31_instruct,79,label_token,-0.003881203360250383,-0.01471789457598584,0.007107323297945169
llama31_instruct,79,question,-0.006962941426570593,-0.018636807356281117,0.004453518542184114
llama31_instruct,79,answer_prefix,0.7891719187675077,0.7240820230836233,0.8588640857269392
