agent,display,game_code,payoff_kind,realized_p1,realized_p2,mixed_ne_p1,mixed_ne_p2,abs_freq_gap_p1,abs_freq_gap_p2,pref_entropy_p1,pref_entropy_p2,dominance_pref_entropy_p1,dominance_pref_entropy_p2
gptoss,GPT-OSS-120B,AsBa,ordinal_rank,0.25,0.0,0.5,0.5,0.25,0.5,0.8112781244591494,6.775611077558682e-14,,
gptoss,GPT-OSS-120B,AsCh,ordinal_rank,0.0,0.0,0.5,0.5,0.5,0.5,0.8112781244602238,1.0,,
gptoss,GPT-OSS-120B,AsHr,ordinal_rank,0.0,1.0,0.25,0.5,0.25,0.5,7.66021073428567e-12,0.8112781244591506,,
gptoss,GPT-OSS-120B,BaAs,ordinal_rank,0.75,0.5,0.5,0.5,0.25,0.0,6.775611077558682e-14,0.8112781244591494,,
gptoss,GPT-OSS-120B,BaCo,ordinal_rank,0.75,0.0,0.25,0.5,0.5,0.5,6.0443533557040756e-15,2.0732604563320836e-12,,
gptoss,GPT-OSS-120B,BaSh,ordinal_rank,1.0,1.0,0.5,0.5,0.5,0.5,1.5839452740542804e-12,0.811278124460208,,
gptoss,GPT-OSS-120B,ChAs,ordinal_rank,0.5,0.75,0.5,0.5,0.0,0.25,1.0,0.8112781244596484,,
gptoss,GPT-OSS-120B,ChCo,ordinal_rank,0.5,0.5,0.25,0.5,0.25,0.0,1.0,0.8112781244594102,,
gptoss,GPT-OSS-120B,ChSh,ordinal_rank,1.0,1.0,0.5,0.5,0.5,0.5,0.011173818723146602,2.3400242880123156e-13,,
gptoss,GPT-OSS-120B,CoBa,ordinal_rank,1.0,0.5,0.5,0.75,0.5,0.25,1.0,1.0,,
gptoss,GPT-OSS-120B,CoCh,ordinal_rank,0.5,0.25,0.5,0.75,0.0,0.5,0.8112781244594102,1.0,,
gptoss,GPT-OSS-120B,CoHr,ordinal_rank,0.5,0.75,0.25,0.75,0.25,0.0,0.8112781244591422,0.8112781244591409,,
gptoss,GPT-OSS-120B,HrAs,ordinal_rank,0.25,0.5,0.5,0.75,0.25,0.25,1.0,0.8112781244592212,,
gptoss,GPT-OSS-120B,HrCo,ordinal_rank,0.0,0.25,0.25,0.75,0.25,0.5,0.8112781244591409,0.8112781244591424,,
gptoss,GPT-OSS-120B,HrSh,ordinal_rank,0.75,1.0,0.5,0.75,0.25,0.25,1.0,0.028873878370988183,,
gptoss,GPT-OSS-120B,ShBa,ordinal_rank,0.25,0.0,0.5,0.5,0.25,0.5,0.8112781244602081,1.5839452740542804e-12,,
gptoss,GPT-OSS-120B,ShCh,ordinal_rank,0.25,0.25,0.5,0.5,0.25,0.25,2.3400242880123156e-13,0.011173818723146997,,
gptoss,GPT-OSS-120B,ShHr,ordinal_rank,0.25,0.25,0.25,0.5,0.0,0.25,0.028873878370988336,1.0,,
llama31_instruct,Llama-3.1-70B-Instruct,AsBa,ordinal_rank,0.5,1.0,0.5,0.5,0.0,0.5,0.988744751435138,0.9302642943716184,,
llama31_instruct,Llama-3.1-70B-Instruct,AsCh,ordinal_rank,0.5,1.0,0.5,0.5,0.0,0.5,0.9791043636486911,0.963424193516833,,
llama31_instruct,Llama-3.1-70B-Instruct,AsHr,ordinal_rank,1.0,1.0,0.25,0.5,0.75,0.5,0.8849718100063172,0.8354538982164619,,
llama31_instruct,Llama-3.1-70B-Instruct,BaAs,ordinal_rank,0.0,0.5,0.5,0.5,0.5,0.0,0.9302642943716184,0.988744751435138,,
llama31_instruct,Llama-3.1-70B-Instruct,BaCo,ordinal_rank,0.25,0.0,0.25,0.5,0.0,0.5,0.9513712662001927,0.9253645988270154,,
llama31_instruct,Llama-3.1-70B-Instruct,BaSh,ordinal_rank,0.25,0.5,0.5,0.5,0.25,0.0,0.9657904734479913,0.921825932094908,,
llama31_instruct,Llama-3.1-70B-Instruct,ChAs,ordinal_rank,0.0,0.5,0.5,0.5,0.5,0.0,0.963424193516833,0.9791043636486911,,
llama31_instruct,Llama-3.1-70B-Instruct,ChCo,ordinal_rank,0.5,0.5,0.25,0.5,0.25,0.0,0.9959978209281015,0.9974580113383877,,
llama31_instruct,Llama-3.1-70B-Instruct,ChSh,ordinal_rank,0.5,0.5,0.5,0.5,0.0,0.0,0.9804490560220167,0.9562218181794737,,
llama31_instruct,Llama-3.1-70B-Instruct,CoBa,ordinal_rank,1.0,0.75,0.5,0.75,0.5,0.0,0.9253645988270156,0.9513712662001927,,
llama31_instruct,Llama-3.1-70B-Instruct,CoCh,ordinal_rank,0.5,0.5,0.5,0.75,0.0,0.25,0.9974580113383877,0.9959978209281014,,
llama31_instruct,Llama-3.1-70B-Instruct,CoHr,ordinal_rank,1.0,1.0,0.25,0.75,0.75,0.25,0.8521158579273047,0.7235153208830121,,
llama31_instruct,Llama-3.1-70B-Instruct,HrAs,ordinal_rank,0.0,0.0,0.5,0.75,0.5,0.75,0.8354538982164618,0.8849718100063171,,
llama31_instruct,Llama-3.1-70B-Instruct,HrCo,ordinal_rank,0.0,0.0,0.25,0.75,0.25,0.75,0.7235153208830121,0.8521158579273047,,
llama31_instruct,Llama-3.1-70B-Instruct,HrSh,ordinal_rank,0.0,0.5,0.5,0.75,0.5,0.25,0.7585150164421892,0.9036518187391038,,
llama31_instruct,Llama-3.1-70B-Instruct,ShBa,ordinal_rank,0.5,0.75,0.5,0.5,0.0,0.25,0.921825932094908,0.9657904734479913,,
